episode,time,delta_s,delta_v_s,v_s,acc,delta_d,difficulty,,
3,29.8,9.752977,0.31516284,12.67679,0.014661784,-0.42549032,0.2,,
3,29.9,9.777117,0.20084718,12.768184,0.9139113,-0.4230405,0.2,,
3,30,9.797903,0.22544813,12.860732,0.92547554,-0.41957808,0.2,,
3,30.1,9.827578,0.3690803,12.907465,0.4673221,-0.4153587,0.2,,
3,30.2,9.875308,0.54414284,12.911653,0.041869365,-0.4104573,0.2,,
3,30.3,9.928992,0.49384508,12.961289,0.49636674,-0.40531322,0.2,,
3,30.4,9.966633,0.2837707,13.060185,0.9889623,-0.40011024,0.2,,
3,30.5,9.983543,0.08720219,13.1036005,0.43415564,-0.39524788,0.2,,
3,30.6,9.983257,-0.065259844,13.112766,0.09165583,-0.39083108,0.2,,
3,30.7,9.974934,-0.062012535,13.087159,-0.25606123,-0.38701528,0.2,,
3,30.8,9.978472,0.1270302,13.016068,-0.710905,-0.38390997,0.2,,
3,30.9,10.003996,0.34858382,12.985752,-0.30315998,-0.3815745,0.2,,
3,31,10.046622,0.45998958,13.054598,0.68845445,-0.37995842,0.2,,
3,31.1,10.089083,0.37781394,13.136317,0.81719613,-0.37924215,0.2,,
3,31.2,10.12047,0.25921896,13.143543,0.07225905,-0.37934837,0.2,,
3,31.3,10.140196,0.15209912,13.106227,-0.37316802,-0.3801415,0.2,,
3,31.4,10.155902,0.16438833,13.052162,-0.54064596,-0.38164273,0.2,,
3,31.5,10.172529,0.15319043,13.022721,-0.29440677,-0.38365883,0.2,,
3,31.6,10.181697,0.026651766,13.108725,0.8600263,-0.3860116,0.2,,
3,31.7,10.175131,-0.123889305,13.218833,1.1010805,-0.38858992,0.2,,
3,31.8,10.161606,-0.123161085,13.17777,-0.41062897,-0.3913115,0.2,,
3,31.9,10.140977,-0.22927386,13.065044,-1.1272607,-0.3938084,0.2,,
3,32,10.120245,-0.18526523,13.065669,0.006252569,-0.39615548,0.2,,
3,32.1,10.105248,-0.123533204,13.182295,1.1662501,-0.3989541,0.2,,
3,32.2,10.097792,-0.013751237,13.316289,1.3399451,-0.40277028,0.2,,
3,32.3,10.108623,0.21605186,13.307957,-0.08332963,-0.40745082,0.2,,
3,32.4,10.137507,0.32528654,13.201696,-1.0625999,-0.4112669,0.2,,
3,32.5,10.164217,0.19165786,13.196812,-0.048850868,-0.41373283,0.2,,
3,32.6,10.167613,-0.11086572,13.303873,1.0706168,-0.41508883,0.2,,
3,32.7,10.137884,-0.42804748,13.43315,1.2927678,-0.41571224,0.2,,
3,32.8,10.087854,-0.50729984,13.468192,0.3504203,-0.4155755,0.2,,
3,32.9,10.04669,-0.31101447,13.39897,-0.6922103,-0.4147801,0.2,,
3,33,10.031515,-0.028842948,13.335274,-0.63695675,-0.41257071,0.2,,
3,33.1,10.039974,0.14841992,13.3667555,0.3148395,-0.40999654,0.2,,
